ASD,TXN_Code,Year,Catch
5852,TOP,1997,7117
5852,TOP,1998,4150
5852,TOP,1999,427
5852,TOP,2000,1154
5852,TOP,2001,2004
5852,TOP,2002,3489
5852,TOP,2003,1274
5852,TOP,2004,531
5852,TOP,2005,265
5852,TOP,2006,74
5852,TOP,2007,0
5852,TOP,2008,0
5852,TOP,2009,0
5852,TOP,2010,0
5851,TOP,1996,833
5851,TOP,1997,6094
5851,TOP,1998,7156
5851,TOP,1999,1237
5851,TOP,2000,2600
5851,TOP,2001,4550
5851,TOP,2002,6300
5851,TOP,2003,5518
5851,TOP,2004,536
5851,TOP,2005,268
5851,TOP,2006,144
5851,TOP,2007,451
5851,TOP,2008,720
5851,TOP,2009,0
5851,TOP,2010,22
58.6,TOP,2000,1430
58.6,TOP,2001,685
58.6,TOP,2002,720
58.6,TOP,2003,302
58.6,TOP,2004,380
58.6,TOP,2005,12
58.6,TOP,2006,55
58.6,TOP,2007,0
58.6,TOP,2008,224
58.6,TOP,2009,0
58.6,TOP,2010,0
58.6,TOP,2011,0
5844,TOP,2010,80
5843b,TOT,2005,1015
5843b,TOT,2006,1903
5843b,TOT,2007,3226
5843b,TOT,2008,360
5843b,TOT,2009,610
5843b,TOT,2010,171
5843a,TOT,2005,98
5843a,TOT,2006,0
5843a,TOT,2007,0
5843a,TOT,2008,0
5843a,TOT,2009,0
483,TOP,1992,3066
483,TOP,1993,4019
483,TOP,1994,4780
483,TOP,1995,1674
483,TOP,1996,0
483,TOP,1997,0
483,TOP,1998,146
483,TOP,1999,667
483,TOP,2000,1015
483,TOP,2001,196
483,TOP,2002,3
483,TOP,2003,0
483,TOP,2004,0
483,TOP,2005,23
483,TOP,2006,0
483,TOP,2007,0
483,TOP,2008,0
483,TOP,2009,0
483,TOP,2010,0
483,TOP,2011,0
483,TOP,2012,0
483,TOP,2013,0
483,TOP,2014,0
483,TOP,2015,0
483,TOP,2016,0
483,TOP,2017,0
483,TOP,2018,0
483,TOP,2019,0
5841,TOA,2006,597
5841,TOA,2007,626
5841,TOA,2008,136
5841,TOA,2009,152
5841,TOA,2010,910
5842,TOA,2004,197
5842,TOA,2005,86
5842,TOA,2006,192
5842,TOA,2007,288
5842,TOA,2008,0
5842,TOA,2009,176
5842,TOA,2010,432
881,TOA,1997,0
881,TOA,1998,0
881,TOA,1999,0
881,TOA,2000,0
881,TOA,2001,0
881,TOA,2002,92
881,TOA,2003,0
881,TOA,2004,240
881,TOA,2005,28
881,TOA,2006,0
881,TOA,2007,0
881,TOA,2008,272
881,TOA,2009,0
881,TOA,2010,0
882,TOA,2003,0
882,TOA,2004,0
882,TOA,2005,0
882,TOA,2006,15
882,TOA,2007,0
882,TOA,2008,0
882,TOA,2009,0
882,TOA,2010,0